region_id,region_name,matched_station_count,turnout_2024,turnout_2026,turnout_delta_2026_minus_2024,pb_share_2026,top_party_share_2024_weighted_sum,ppdb_share_2024,ppdb_plus_gerb_share_2024,pb_minus_2024_top_party_share,pb_minus_2024_ppdb_share,historical_swing_lead_stations,weighted_corr_turnout_delta_pb_share_delta_vs_top
08,08. ДОБРИЧ,376,0.31735612182193046,0.3968986619645265,0.07954254014259604,0.5000150172698603,0.36940930276800155,0.08585560734328926,0.38048130885570247,0.13060571450185876,0.4141594099265711,6,0.6184605289059777
07,07. ГАБРОВО,234,0.33668846037669664,0.477876543698152,0.14118808332145538,0.47836543623440486,0.34785794986106444,0.11117896729671135,0.42495954074933584,0.13050748637334042,0.3671864689376935,10,0.37517687267804856
13,13. ПАЗАРДЖИК,365,0.334287826389892,0.4558253112263881,0.12153748483649607,0.511371152873429,0.3849586152975115,0.09314928149685908,0.3636461675339031,0.12641253757591753,0.41822187137656996,34,0.5971573845088345
06,06. ВРАЦА,327,0.40349748663739937,0.5211374471228094,0.11763996048541003,0.5358405785541464,0.415541008589637,0.06882100304793572,0.44153505126073705,0.12029956996450936,0.46701957550621065,16,0.5256626113633077
26,26. СОФИЯ област,409,0.40220812851804183,0.5549993542554565,0.15279122573741472,0.49138265286340194,0.37259392551393206,0.08787283930421506,0.4267135612628824,0.11878872734946988,0.40350981355918686,42,0.4687221906726743
25,25. СОФИЯ 25 МИР,506,0.36877698123884683,0.5216932369375633,0.15291625569871647,0.4203331814494171,0.3016152195310861,0.20792925951624094,0.4948203249802333,0.118717961918331,0.21240392193317617,17,0.10954532530220355
03,03. ВАРНА,655,0.391768415158192,0.49872492185004885,0.10695650669185686,0.4512700504612671,0.3412648143915897,0.14373959319599072,0.45667831140422477,0.11000523606967744,0.3075304572652764,8,0.5118889537955859
14,14. ПЕРНИК,259,0.36332264755798604,0.5346461187214612,0.17132347116347513,0.4842613228224633,0.39508621164545804,0.1036192364898364,0.4961989753759709,0.08917511117700527,0.3806420863326269,17,0.37357499857086746
02,02. БУРГАС,738,0.3772829971655096,0.4929702196943861,0.11568722252887648,0.4739268588595528,0.3961011205080451,0.10244863065978689,0.38933838121698777,0.07782573835150774,0.37147822819976595,32,0.4524243383715919
12,12. МОНТАНА,296,0.4062446942171211,0.5137702790395847,0.1075255848224636,0.47271775178914294,0.40870774119516284,0.07524936004943067,0.3486847912437108,0.0640100105939801,0.39746839173971227,20,0.6806496371909605
11,11. ЛОВЕЧ,261,0.3698509313515732,0.48309026684852935,0.11323933549695614,0.4661131819722128,0.4022684781253895,0.0867505920478624,0.48054343761685153,0.06384470384682328,0.3793625899243504,6,0.2868551269638306
29,29. ХАСКОВО,479,0.40297610693986385,0.48782003808717733,0.08484393114731348,0.497511087823044,0.4381939050577969,0.076061132178919,0.41406999588797005,0.05931718276524711,0.421449955644125,5,0.538730242736744
05,05. ВИДИН,254,0.3740416409287453,0.45322206653688296,0.07918042560813765,0.43915749978681673,0.3883421650264951,0.1368453650815498,0.42192553850388825,0.05081533476032163,0.30231213470526697,2,0.539573051651826
22,22. СМОЛЯН,271,0.4270340255839246,0.5453841995357169,0.11835017395179231,0.49024375540059884,0.4568780088087678,0.10237631875448121,0.4144730103451808,0.03336574659183106,0.3878674366461176,7,0.3418245946722194
24,24. СОФИЯ 24 МИР,498,0.31298993333069786,0.4154932776162791,0.10250334428558122,0.35045769044098557,0.3380754714020041,0.298762545217712,0.5467243151625484,0.012382219038981457,0.051695145223273564,12,0.4862956858935604
20,20. СИЛИСТРА,231,0.3734972774202673,0.4338561704646345,0.0603588930443672,0.4421005193355938,0.44036651684835243,0.06960343671624743,0.3214471952521666,0.0017340024872413706,0.3724970826193464,5,0.6554549720079248
30,30. ШУМЕН,318,0.3058760930672529,0.38183818596538305,0.07596209289813016,0.4198548136873225,0.4321008185967441,0.12055361531496572,0.2976144279985956,-0.01224600490942157,0.2993011983723568,5,0.5490121095188554
23,23. СОФИЯ 23 МИР,634,0.45571794713226554,0.594628608150806,0.13891066101854044,0.3256079849201199,0.35761894182245213,0.34371726917827783,0.5711270511314945,-0.032010956902332244,-0.018109284258157943,4,0.1671442144484179
28,28. ТЪРГОВИЩЕ,265,0.3638069161342663,0.40726907053584255,0.04346215440157625,0.40196417755472874,0.4346827376688814,0.04663225232790772,0.1950255637612073,-0.03271856011415264,0.355331925226821,1,0.618656084378166
01,01. БЛАГОЕВГРАД,558,0.40451839700023434,0.4827765012730547,0.07825810427282037,0.39833022884513036,0.4868838817570024,0.08992640108580616,0.4181565532117726,-0.08855365291187206,0.3084038277593242,13,0.568943911022195
18,18. РАЗГРАД,213,0.327667646353167,0.36360707086602373,0.035939424512856755,0.3864177152779266,0.48504088504088505,0.13833573833573834,0.31661856661856663,-0.09862316976295843,0.24808197694218828,0,0.721558168744028
09,09. КЪРДЖАЛИ,541,0.2867794613104553,0.2952544423550677,0.008474981044612417,0.24334860904924804,0.6479986095884916,0.032875210567127465,0.10730233428701302,-0.4046500005392436,0.21047339848212057,1,0.19490457009068385
