group_level,region_id,admin_name,municipality_code,station_count,broad_matched_lead_stations,strong_matched_lead_stations,strong_lead_station_rate,registered_voters,voters_signed,turnout,valid_candidate_votes,progressive_bulgaria_votes,progressive_bulgaria_share,strong_lead_valid_candidate_votes,strong_lead_progressive_bulgaria_votes,strong_lead_progressive_bulgaria_share,strong_lead_valid_vote_share_of_group,strong_lead_pb_votes_minus_control_expectation,broad_lead_pb_votes_minus_control_expectation,matched_positive_residual_stations,matched_relative_high_turnout_high_share_stations,validation_issue_stations,strong_lead_validation_issue_stations,max_matched_control_score,max_pb_control_z,max_pb_share_minus_control,max_turnout_minus_control,strong_lead_sections,strong_lead_places,voting_modes_in_strong_leads,validation_issue_types,strong_lead_centroid_latitude,strong_lead_centroid_longitude,group_label
municipality,09,09. КЪРДЖАЛИ,21,62,2,2,0.03225806451612903,33415,9253,0.2769115666616789,8873,1647,0.1856192944888989,653,258,0.39509954058192953,0.07359404936323678,124.67433283372152,124.67433283372152,2,0,2,0,2,9.272241405967373,0.2178718065931497,0.0501450697168177,092100009; 092100001,гр.Момчилград,mixed_machine_paper,,41.528905800000004,25.40948205,09/21
municipality,15,15. ПЛЕВЕН,37,41,2,2,0.04878048780487805,23568,10737,0.45557535641547864,10317,5310,0.51468450130852,717,489,0.6820083682008368,0.06949694678685664,119.91672828678159,119.91672828678159,2,0,0,0,2,7.431959854486274,0.200568535432541,0.0766818334370477,153700034; 153700028,гр.Червен бряг,mixed_machine_paper,,43.278074425,24.089828935,15/37
municipality,02,02. БУРГАС,18,52,2,2,0.038461538461538464,28800,12944,0.4494444444444444,12168,2339,0.19222550953320183,445,197,0.44269662921348313,0.03657133464825772,111.0866604738105,111.0866604738105,2,0,0,0,2,11.20213286257777,0.315181658850836,0.0182770443226963,021800016; 021800028,с.Каравельово; с.Просеник,mixed_machine_paper,,42.864036459999994,27.30051162,02/18
municipality,27,27. СТАРА ЗАГОРА,12,90,2,2,0.022222222222222223,63934,33065,0.5171739606469171,31989,16292,0.5093000718997155,810,517,0.6382716049382716,0.02532120416393135,106.3686538818086,106.3686538818086,2,0,4,0,2,5.516345984918495,0.1353720996913459,0.0569195726045986,271200085; 271200077,с.Горно Черковище; с.Овощник,mixed_machine_paper,,42.574166250000005,25.381149649999998,27/12
municipality,13,13. ПАЗАРДЖИК,08,51,4,2,0.0392156862745098,30936,14221,0.4596909749159555,13669,6357,0.4650669397907674,483,324,0.6708074534161491,0.03533543053624991,105.74238476741382,180.81074882121501,2,2,2,0,3,7.994152060082914,0.303502665254166,0.3296130952380952,130800029; 130800003,гр.Велинград,mixed_machine_paper; paper_only,,42.02543645,23.9941739,13/08
municipality,08,08. ДОБРИЧ,15,68,2,2,0.029411764705882353,21303,7828,0.36745998216213677,7498,3302,0.44038410242731396,487,317,0.6509240246406571,0.06495065350760203,99.53000155645405,99.53000155645405,1,1,1,0,3,7.769211790267271,0.2053628161138644,0.403578069597958,081500021; 081500028,с.Дончево; с.Козлодуйци,mixed_machine_paper,,43.57535174,27.755197465000002,08/15
municipality,06,06. ВРАЦА,10,116,2,2,0.017241379310344827,63643,32043,0.5034803513347894,31113,17812,0.5724938128756468,634,455,0.7176656151419558,0.020377334233278695,93.6479468517837,93.6479468517837,1,0,1,0,2,6.173713383965625,0.1710150369920775,0.1154945477562522,061000059; 061000082,гр.Враца; с.Паволче,mixed_machine_paper,,43.19074651,23.574368405,06/10
municipality,17,17. ПЛОВДИВ област,12,20,2,2,0.1,9082,4598,0.5062761506276151,4457,2345,0.5261386582903298,381,266,0.6981627296587927,0.08548350908682971,72.58638474105996,72.58638474105996,1,0,1,1,2,6.667873176596951,0.2024492878370246,0.1083777437865959,171200009; 171200011,с.Главатар; с.Ръжево Конаре,mixed_machine_paper; paper_only,signed_voters_ballots_found_mismatch,42.3377945,24.83907585,17/12
municipality,20,20. СИЛИСТРА,31,94,2,2,0.02127659574468085,45338,21455,0.4732233446556972,20740,11405,0.5499035679845709,605,408,0.6743801652892562,0.029170684667309547,71.67460651839093,71.67460651839093,0,0,0,0,2,4.281811890528234,0.1303941672362725,0.0923390558855568,203100178; 203100179,с.Калипетрово,mixed_machine_paper,,44.082928905,27.248575455,20/31
municipality,04,04. ВЕЛИКО ТЪРНОВО,04,144,2,2,0.013888888888888888,71949,38225,0.5312791004739468,37094,18182,0.49016013371434736,829,474,0.571773220747889,0.02234862781042756,71.57976797098345,71.57976797098345,0,0,1,0,2,5.261785062097477,0.159885105786745,0.070085617147974,040400102; 040400085,гр.Велико Търново; с.Ресен,mixed_machine_paper,,43.141156179999996,25.58115582,04/04
municipality,22,22. СМОЛЯН,11,21,2,2,0.09523809523809523,9653,5059,0.5240857764425567,4897,3144,0.6420257300387993,490,338,0.689795918367347,0.1000612619971411,53.078060984224166,53.078060984224166,1,0,0,0,2,9.212098742233202,0.3835106382978723,0.4838004425998946,221100010; 221100008,гр.Златоград; с.Аламовци,mixed_machine_paper; paper_only,,41.38676315,25.048215,22/11
municipality,29,29. ХАСКОВО,19,17,3,1,0.058823529411764705,6963,3710,0.5328163148068361,3584,773,0.21568080357142858,311,213,0.684887459807074,0.08677455357142858,166.17768437141766,334.32763206329525,3,0,0,0,3,26.34986465361804,0.5343333902617932,0.1114299754299754,291900002,с.Минерални бани,mixed_machine_paper,,41.934466,25.3500289,29/19
municipality,09,09. КЪРДЖАЛИ,08,45,1,1,0.022222222222222223,24177,6996,0.2893659262935848,6788,483,0.0711549793753683,407,150,0.36855036855036855,0.05995875073659399,129.13395810363838,129.13395810363838,1,1,0,0,3,29.02342300315017,0.3172824523430917,0.3268609676724521,090800030,с.Припек,mixed_machine_paper,,41.46144836,25.18448353,09/08
