section_id,region_id,admin_name,municipality_code,place_name,voting_mode,registered_voters,voters_signed,turnout,total_valid_candidate_votes,progressive_bulgaria_votes,progressive_bulgaria_share,registered_voters_2024,voters_signed_2024,turnout_2024,valid_candidate_votes_2024,top_party_id_2024,top_party_name_2024,top_party_votes_2024,top_party_share_2024,ppdb_votes_2024,gerb_sds_votes_2024,dps_new_votes_2024,aps_votes_2024,ppdb_share_2024,gerb_sds_share_2024,ppdb_plus_gerb_share_2024,dps_plus_aps_share_2024,turnout_delta_2026_minus_2024,pb_share_2026_minus_2024_top_party_share,pb_share_2026_minus_2024_ppdb_share,pb_share_2026_minus_2024_ppdb_plus_gerb_share,registered_voter_delta_2026_minus_2024,valid_vote_delta_2026_minus_2024,historical_swing_lead
020400147,02,02. БУРГАС,04,гр.Бургас,mixed_machine_paper,629,310,0.492845786963434,304,193,0.6348684210526315,639,179,0.28012519561815336,171,18,ГЕРБ-СДС,51,0.2982456140350877,22,51,6,0,0.1286549707602339,0.2982456140350877,0.4269005847953216,0.03508771929824561,0.21272059134528065,0.3366228070175438,0.5062134502923976,0.2079678362573099,-10,133,1
260700028,26,26. СОФИЯ област,07,с.Трудовец,mixed_machine_paper,664,364,0.5481927710843374,350,211,0.6028571428571429,679,233,0.3431516936671576,217,8,ДПС-Ново начало,58,0.2672811059907834,12,50,58,0,0.055299539170506916,0.2304147465437788,0.2857142857142857,0.2672811059907834,0.2050410774171798,0.33557603686635945,0.547557603686636,0.31714285714285717,-15,133,1
254619067,25,25. СОФИЯ 25 МИР,46,гр.София,mixed_machine_paper,650,376,0.5784615384615385,361,192,0.5318559556786704,663,240,0.36199095022624433,224,12,ВЪЗРАЖДАНЕ,44,0.19642857142857142,42,43,1,1,0.1875,0.19196428571428573,0.3794642857142857,0.008928571428571428,0.21647058823529414,0.335427384250099,0.3443559556786704,0.1523916699643847,-13,137,1
030400009,03,03. ВАРНА,04,гр.Белослав,mixed_machine_paper,412,195,0.4733009708737864,186,104,0.5591397849462365,426,112,0.26291079812206575,107,18,ГЕРБ-СДС,24,0.22429906542056074,6,24,13,9,0.056074766355140186,0.22429906542056074,0.2803738317757009,0.205607476635514,0.21039017275172067,0.33484071952567573,0.5030650185910963,0.2787659531705356,-14,79,1
122900031,12,12. МОНТАНА,29,гр.Монтана,mixed_machine_paper,679,323,0.4756995581737849,316,183,0.5791139240506329,704,167,0.2372159090909091,159,18,ГЕРБ-СДС,39,0.24528301886792453,34,39,19,1,0.2138364779874214,0.24528301886792453,0.4591194968553459,0.12578616352201258,0.2384836490828758,0.33383090518270836,0.3652774460632115,0.11999442719528697,-25,157,1
172600054,17,17. ПЛОВДИВ област,26,с.Ягодово,mixed_machine_paper,540,306,0.5666666666666667,295,158,0.535593220338983,588,96,0.16326530612244897,94,4,ПП ВЕЛИЧИЕ,19,0.20212765957446807,8,18,0,4,0.0851063829787234,0.19148936170212766,0.2765957446808511,0.0425531914893617,0.4034013605442177,0.33346556076451495,0.45048683736025963,0.25899747565813197,-48,201,1
172500023,17,17. ПЛОВДИВ област,25,с.Белозем,mixed_machine_paper,581,253,0.4354561101549053,242,146,0.6033057851239669,583,110,0.18867924528301888,100,18,ГЕРБ-СДС,27,0.27,18,27,0,2,0.18,0.27,0.45,0.02,0.24677686487188644,0.3333057851239669,0.42330578512396694,0.15330578512396692,-2,142,1
273700006,27,27. СТАРА ЗАГОРА,37,с.Конаре,paper_only,312,164,0.5256410256410257,158,99,0.6265822784810127,308,100,0.3246753246753247,92,18,ГЕРБ-СДС,27,0.29347826086956524,9,27,2,1,0.09782608695652174,0.29347826086956524,0.391304347826087,0.03260869565217391,0.200965700965701,0.3331040176114474,0.5287561915244909,0.2352779306549257,4,66,1
212000088,21,21. СЛИВЕН,20,гр.Сливен,mixed_machine_paper,733,336,0.4583901773533424,320,182,0.56875,752,175,0.2327127659574468,161,18,ГЕРБ-СДС,38,0.2360248447204969,27,38,1,5,0.16770186335403728,0.2360248447204969,0.40372670807453415,0.037267080745341616,0.22567741139589562,0.3327251552795031,0.4010481366459627,0.16502329192546583,-19,159,1
211600023,21,21. СЛИВЕН,16,гр.Нова Загора,mixed_machine_paper,613,308,0.5024469820554649,305,174,0.5704918032786885,646,190,0.29411764705882354,185,18,ГЕРБ-СДС,44,0.23783783783783785,22,44,1,1,0.11891891891891893,0.23783783783783785,0.3567567567567568,0.010810810810810811,0.20832933499664136,0.3326539654408507,0.4515728843597696,0.21373504652193176,-33,120,1
