contrast_level,region_id,admin_name,municipality_code,mixed_station_count,paper_station_count,mixed_valid_candidate_votes,paper_valid_candidate_votes,mixed_turnout,paper_turnout,paper_minus_mixed_turnout,mixed_pb_share,paper_pb_share,paper_minus_mixed_pb_share,mixed_strong_lead_rate,paper_strong_lead_rate,paper_minus_mixed_strong_lead_rate,mixed_strong_matched_leads,paper_strong_matched_leads,paper_minus_mixed_pb_votes_above_control_expectation,mixed_validation_issue_stations,paper_validation_issue_stations
municipality,18,18. РАЗГРАД,14,34,8,8873,401,0.35373760488176964,0.7125850340136054,0.35884742913183576,0.2518877493519666,0.18952618453865336,-0.06236156481331326,0.058823529411764705,0.0,-0.058823529411764705,2,0,34.373138892725464,0,0
municipality,11,11. ЛОВЕЧ,02,4,3,1224,148,0.6018207954000958,0.6968325791855203,0.09501178378542452,0.4950980392156863,0.43243243243243246,-0.06266560678325384,0.0,0.0,0.0,0,0,-18.881223229314053,1,0
municipality,03,03. ВАРНА,02,21,17,6815,1969,0.4952593418851088,0.6826666666666666,0.18740732478155786,0.4950843727072634,0.4291518537328593,-0.06593251897440411,0.0,0.0,0.0,0,0,2.464269129495838,0,0
municipality,15,15. ПЛЕВЕН,03,10,7,3006,576,0.4948995855913293,0.5687203791469194,0.07382079355559013,0.6387225548902196,0.5711805555555556,-0.06754199933466398,0.0,0.0,0.0,0,0,0.692087392970631,0,0
municipality,28,28. ТЪРГОВИЩЕ,22,35,22,6813,1664,0.32307069980673286,0.4744605299098607,0.15138983010312784,0.3245266402465874,0.2566105769230769,-0.06791606332351047,0.0,0.0,0.0,0,0,17.244196080045032,0,0
municipality,22,22. СМОЛЯН,31,45,43,14205,2738,0.5269175627240144,0.6089661089661089,0.08204854624209457,0.5253079901443154,0.4572680788897005,-0.0680399112546149,0.0,0.0,0.0,0,0,94.61464682545912,0,0
municipality,12,12. МОНТАНА,26,5,3,1293,194,0.5394422310756972,0.6415094339622641,0.1020672028865669,0.382830626450116,0.31443298969072164,-0.06839763675939436,0.0,0.0,0.0,0,0,-24.457203481136204,0,0
municipality,04,04. ВЕЛИКО ТЪРНОВО,22,29,13,6657,1297,0.40669461007143276,0.5806729939603106,0.17397838388887782,0.5143458014120474,0.4456437933693138,-0.06870200804273363,0.0,0.0,0.0,0,0,1.6972790728291542,0,0
municipality,10,10. КЮСТЕНДИЛ,29,80,33,21738,1652,0.3662446296055201,0.454497632824829,0.0882530032193089,0.4829331125218511,0.41404358353510895,-0.06888952898674217,0.0125,0.0,-0.0125,1,0,-23.28685620359102,0,0
municipality,22,22. СМОЛЯН,02,4,13,888,897,0.5519559902200489,0.609271523178808,0.05731553295875902,0.5394144144144144,0.47045707915273133,-0.06895733526168307,0.0,0.0,0.0,0,0,-34.5886364990946,0,0
